Chronologic VCS simulator copyright 1991-2018
Contains Synopsys proprietary information.
Compiler version O-2018.09-SP2_Full64; Runtime version O-2018.09-SP2_Full64;  Dec 11 00:44 2022
*Verdi* Loading libsscore_vcs201809.so
FSDB Dumper for VCS, Release Verdi_O-2018.09-SP2, Linux x86_64/64bit, 02/21/2019
(C) 1996 - 2019 by Synopsys, Inc.
*Verdi* FSDB WARNING: The FSDB file already exists. Overwriting the FSDB file may crash the programs that are using this file.
*Verdi* : Create FSDB file 'wave.fsdb'
*Verdi* : Begin traversing the scopes, layer (0).
*Verdi* : Enable +all dumping.
*Verdi* : End of traversing.
                4790@00004184: $ 4 <= 000031a8
                4794@00004188: $ 1 <= 00000018
                4798@0000418c: $ 6 <= 00000019
                4830@00004180: $ 5 <= 000031a8
                4838@00004184: $ 4 <= 000031ac
                4842@00004188: $ 1 <= 0000001b
                4846@0000418c: $ 6 <= 0000001c
                4878@00004180: $ 5 <= 000031ac
                4886@00004184: $ 4 <= 000031b0
                4890@00004188: $ 1 <= 0000001e
                4894@0000418c: $ 6 <= 0000001f
                4926@00004180: $ 5 <= 000031b0
                4934@00004184: $ 4 <= 000031b4
                4938@00004188: $ 1 <= 00000021
                4942@0000418c: $ 6 <= 00000022
                4974@00004180: $ 5 <= 000031b4
                4982@00004184: $ 4 <= 000031b8
                4986@00004188: $ 1 <= 00000024
                4990@0000418c: $ 6 <= 00000025
                5022@00004180: $ 5 <= 000031b8
                5030@00004184: $ 4 <= 000031bc
                5034@00004188: $ 1 <= 00000027
                5038@0000418c: $ 6 <= 00000028
                5070@00004180: $ 5 <= 000031bc
                5078@00004184: $ 4 <= 000031c0
                5082@00004188: $ 1 <= 0000002a
                5086@0000418c: $ 6 <= 0000002b
                5118@00004180: $ 5 <= 000031c0
                5126@00004184: $ 4 <= 000031c4
                5130@00004188: $ 1 <= 0000002d
                5134@0000418c: $ 6 <= 0000002e
                5166@00004180: $ 5 <= 000031c4
                5174@00004184: $ 4 <= 000031c8
                5178@00004188: $ 1 <= 00000030
                5182@0000418c: $ 6 <= 00000031
                5214@00004180: $ 5 <= 000031c8
                5222@00004184: $ 4 <= 000031cc
                5226@00004188: $ 1 <= 00000033
                5230@0000418c: $ 6 <= 00000034
                5262@00004180: $ 5 <= 000031cc
                5270@00004184: $ 4 <= 000031d0
                5274@00004188: $ 1 <= 00000036
                5278@0000418c: $ 6 <= 00000037
                5310@00004180: $ 5 <= 000031d0
                5318@00004184: $ 4 <= 000031d4
                5322@00004188: $ 1 <= 00000039
                5326@0000418c: $ 6 <= 0000003a
                5358@00004180: $ 5 <= 000031d4
                5366@00004184: $ 4 <= 000031d8
                5370@00004188: $ 1 <= 0000003c
                5374@0000418c: $ 6 <= 0000003d
                5406@00004180: $ 5 <= 000031d8
                5414@00004184: $ 4 <= 000031dc
                5418@00004188: $ 1 <= 0000003f
                5422@0000418c: $ 6 <= 00000040
                5454@00004180: $ 5 <= 000031dc
                5462@00004184: $ 4 <= 000031e0
                5466@00004188: $ 1 <= 00000042
